,Model Accuracy,Model Loss,Model Sensitivity,Model Specificity,Model F1,Model Precision,Dataset
0,0.766,262.1908922493458,0.536,0.996,0.6961038961038961,0.9925925925925926,dataset_12
0,0.81,207.27954244613647,0.62,1.0,0.7654320987654321,1.0,dataset_6
0,0.804,211.48034265637398,0.616,0.992,0.7586206896551724,0.9871794871794872,dataset_1
0,0.84,178.1635626554489,0.688,0.992,0.8113207547169812,0.9885057471264368,dataset_9
0,0.792,218.12556582689285,0.584,1.0,0.7373737373737373,1.0,dataset_7
0,0.804,205.10496520996094,0.612,0.996,0.7574257425742574,0.9935064935064936,dataset_3
0,0.802,214.15386107563972,0.612,0.992,0.7555555555555555,0.9870967741935484,dataset_20
0,0.824,201.2535385787487,0.656,0.992,0.7884615384615384,0.9879518072289156,dataset_2
0,0.77,230.66034397482872,0.54,1.0,0.7012987012987013,1.0,dataset_10
0,0.788,228.05277568101883,0.576,1.0,0.7309644670050761,1.0,dataset_17
0,0.786,215.98649287223816,0.576,0.996,0.7291139240506329,0.993103448275862,dataset_13
0,0.804,202.93709716200829,0.616,0.992,0.7586206896551724,0.9871794871794872,dataset_4
0,0.828,195.11069658398628,0.66,0.996,0.7932692307692307,0.9939759036144579,dataset_16
0,0.796,212.4630382657051,0.596,0.996,0.745,0.9933333333333333,dataset_14
0,0.792,222.2087719142437,0.584,1.0,0.7373737373737373,1.0,dataset_15
0,0.812,198.82306289672852,0.632,0.992,0.7707317073170732,0.9875,dataset_19
0,0.822,191.19162222743034,0.656,0.988,0.7865707434052758,0.9820359281437125,dataset_18
0,0.79,225.1835727095604,0.58,1.0,0.7341772151898734,1.0,dataset_11
0,0.78,219.69380274415016,0.568,0.992,0.7208121827411168,0.9861111111111112,dataset_8
0,0.802,235.0805411040783,0.604,1.0,0.7531172069825436,1.0,dataset_5
